longtitude,latitude
119.506271,23.587352
120.227854,22.977174
120.398532,22.494401
120.5362,22.87365
120.412847,24.077578
121.012094,24.691701
120.656476,24.415549
120.227571,23.51824
121.790787,24.700426
120.556821,23.7128
120.318171,23.622583
121.087108,24.831138
120.364568,22.639307
120.646815,24.328071
121.701291,24.779152
121.944716,25.01589
120.647665,24.164183
120.443936,23.774492
120.196093,23.001476
120.645783,22.437344
121.247996,24.843865
120.676017,24.422765
121.781361,25.14991
120.387849,23.314019
120.312335,22.828214
121.435191,24.995727
120.223928,22.992099
121.295625,25.041164
120.18136,23.518469
121.590221,24.951395
120.485722,22.555368
120.271758,23.720417
120.567973,23.716914
120.552338,24.270722
120.266273,23.054024
120.779234,24.448526
121.014969,24.906912
120.484779,22.882211
120.21353,23.003935
121.366667,24.933333
120.5077,22.94183
121.261962,25.013106
121.491111,25.059126
121.010533,24.91316
121.205174,25.056205
120.219349,23.794209
120.970384,24.643013
121.314388,24.985619
121.597223,23.994353
121.069675,24.911472
120.246252,23.568296
120.466123,22.84845
121.018059,24.866034
120.133111,23.185111
121.263319,25.097408
121.288277,24.98966
120.289446,23.710711
121.633498,24.113543
120.335437,22.650917
121.49021,25.071872
121.100259,22.779518
120.5702,22.91753
120.672238,24.255238
120.834061,24.172808
121.250129,23.184132
120.344219,23.479904
121.16533,24.963705
120.848546,24.684443
121.534777,25.026071
121.629768,24.024055
120.675865,24.114946
120.530339,24.254969
120.717372,24.167241
120.150974,23.149554
120.732865,22.015166
120.318832,22.64009
120.365414,23.555628
120.676383,24.103138
120.987113,24.897153
120.58914,24.113335
120.544928,23.915293
120.319442,23.360567
120.322184,22.666947
121.46737,25.073427
121.170082,25.077525
120.331817,22.628148
121.133513,22.742034
121.83123,24.864267
121.51122,25.062788
121.5644,25.04124
121.122181,22.933894
120.36141,22.735629
121.272334,24.840346
120.640331,24.116975
121.30557,24.936677
120.987632,23.667976
121.69671,24.721733
120.432671,23.533657
120.420029,23.726251
121.636724,24.136321
119.513771,23.616312
119.587309,23.564898
121.605842,24.055256
120.546078,24.057431
120.693021,24.058598
120.695931,24.065745
120.692689,24.373358
120.385316,23.792957
120.540815,22.675335
120.308472,23.340629
120.328873,22.706374
120.406976,23.328906
120.333961,22.971824
121.453971,25.033547
120.503502,22.810391
120.487016,22.607177
120.196822,23.137139
121.537085,25.01075
120.770637,23.810669
120.547085,24.275491
120.683316,24.13636
120.442383,23.747926
121.043324,24.896586
120.366026,22.730079
120.580293,22.726795
121.139371,24.909292
120.364167,22.964307
121.081527,24.964233
121.341571,25.001575
120.258018,23.244882
120.471521,23.45843
121.206248,22.864122
120.578713,23.99858
120.302392,22.709029
120.573685,24.264311
120.670578,24.083935
120.932747,23.967181
120.307118,23.610451
120.695365,24.164937
121.034552,24.830958
120.644628,24.435238
121.560044,24.996802
120.357309,23.309714
120.296055,22.789302
121.832546,24.50786
120.5275,22.86075
120.247074,23.160886
121.708792,24.693859
120.533334,22.690554
120.475589,24.039576
120.640818,24.100371
120.413202,23.741815
120.931642,24.562266
120.523755,23.949288
120.14387,23.565887
120.653263,24.128829
121.521187,24.974137
120.399771,23.435194
121.412075,25.028492
120.811976,24.573749
