Data_id,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated
492,10721,100,22.71
493,10736,100,23.14
494,10757,101,23.44
495,10770,101,23.44
496,10781,102,24.05
497,10795,104,24.98
498,10814,104,25.97
499,10826,104,26.78
500,10838,104,28.39
501,10849,104,29.23
502,10854,104,29.23
503,10857,105,31.06
504,10869,105,33.24
505,10879,105,35.06
506,10892,106,36.6
507,10902,106,38.19
508,10915,107,40.76
509,10917,107,44.36
510,10922,107,45.28
511,10936,107,46.25
512,10951,107,46.42
513,10957,107,46.8
514,10969,107,47.34
515,10974,107,47.67
516,10978,107,47.67
517,10985,107,47.94
518,10993,107,48.24
519,11006,107,48.55
520,11018,107,49.37
521,11033,107,49.38
522,11041,107,49.38
523,11057,107,49.38
524,11059,107,49.65
525,11064,107,49.99
526,11068,107,50.3
527,11069,107,50.58
528,11072,107,50.87
529,11076,107,52.06
530,11080,107,52.06
531,11081,107,52.31
532,11084,107,52.54
533,11089,107,52.8
534,11099,107,53.07
535,11103,107,53.35
536,11106,107,53.35
537,11108,107,53.57
538,11112,107,53.84
539,11116,107,53.85
540,11118,107,54.23
541,11125,107,54.49
542,11126,107,54.49
543,11131,107,54.49
544,11131,107,54.49
545,11132,107,54.87
546,11135,107,55.21
547,11138,107,55.82
548,11140,107,55.91
549,11144,107,56.26
550,11144,107,56.26
551,11144,107,56.26
552,11144,107,56.67
553,11144,107,57
554,11144,107,57.28
555,11144,107,57.55
556,11169,107,57.9
557,11169,107,58.01
558,11169,107,58.01
559,11169,107,58.23
560,11180,108,58.4
561,11186,108,58.64
562,11199,108,58.9
563,11199,108,58.91
564,11223,108,58.91
565,11235,108,58.91
566,11244,108,59.27
567,11257,109,59.28
568,11272,109,59.49
569,11293,109,59.7
570,11325,109,59.74
571,11354,109,59.74
572,11382,109,59.74
573,11405,109,59.96
574,11460,109,60.17
575,11521,109,60.41
576,11584,110,60.63
577,11651,110,60.88
578,11730,110,61.73
579,11765,110,61.73
580,11807,111,61.88
581,11877,111,62.18
582,12000,111,62.24
583,12000,111,62.37
584,12262,111,62.54
585,12371,111,62.54
586,12455,111,62.54
587,12529,111,62.71
588,12636,111,62.85
589,12791,113,63.09
590,12929,115,63.19
591,13121,115,63.43
592,13279,116,63.43
593,13350,119,63.43
594,13406,121,63.65
595,13511,121,63.92
596,13511,121,64.1
597,13719,124,64.26
598,13871,124,64.34
599,13948,126,64.34
600,14003,126,64.49
601,14060,128,64.55
602,14153,128,64.58
603,14231,132,64.64
604,14318,133,64.73
605,14374,133,64.83
606,14429,137,64.83
607,14465,137,64.92
608,14508,139,64.95
609,14576,146,65.34
610,14662,146,65.55
611,14719,148,65.69
612,14764,149,65.8
613,14812,150,65.8
614,14812,150,65.8
615,14861,151,66.11
616,14913,151,66.16
617,14955,153,66.35
618,14991,154,66.52
619,15022,154,66.68
620,15057,155,67.15
621,15076,155,68.43
622,15092,155,68.43
623,15129,156,68.73
624,15155,156,69.08
625,15177,156,69.36
626,15202,157,69.36
627,15221,158,69.36
628,15249,158,69.36
629,15274,159,69.5
630,15305,159,69.7
631,15305,159,69.71
632,15351,160,69.85
633,15370,160,69.95
634,15405,165,69.97
635,15416,165,69.99
636,15432,166,70.04
637,15448,166,70.14
638,15472,166,70.21
639,15500,166,70.27
640,15514,166,70.35
641,15533,167,70.35
642,15536,167,70.35
643,15543,167,70.49
644,15560,168,70.64
645,15578,168,70.79
646,15587,169,70.93
647,15605,169,71.01
648,15626,169,71.01
649,15626,169,71.08
650,15645,170,71.08
651,15663,170,71.15
652,15663,170,71.28
653,15692,170,71.33
654,15702,170,71.4
655,15715,170,71.4
656,15720,170,71.4
657,15732,170,71.49
658,15746,170,71.62
659,15765,170,71.69
660,15779,171,71.74
661,15790,171,71.81
662,15800,171,71.81
663,15807,171,71.81
664,15815,171,71.86
665,15848,171,71.91
666,15865,171,71.99
667,15882,171,72.04
668,15901,171,72.1
669,15916,171,72.1
670,15925,171,72.1
671,15931,171,72.19
672,15937,171,72.24
673,15949,171,72.34
674,15965,171,72.34
675,15981,172,72.4
676,15997,172,72.4
677,16006,172,72.4
678,16011,172,72.44
679,16011,172,72.48
680,16039,172,72.56
681,16057,172,72.62
682,16071,172,72.68
683,16076,172,72.68
684,16083,172,72.68
685,16089,172,72.73
686,16113,172,72.78
687,16133,173,72.86
688,16149,173,72.9
689,16171,173,72.97
690,16194,173,72.98
691,16202,173,73.03
692,16210,173,73.03
693,16230,173,73.11
694,16246,173,73.15
695,16263,174,73.24
696,16291,174,73.26
697,16312,174,73.26
698,16324,174,73.27
699,16335,174,73.27
700,16354,174,73.27
701,16372,174,73.27
702,16392,174,73.35
703,16414,174,73.42
704,16432,174,73.42
705,16450,174,73.42
706,16450,174,73.47
707,16484,175,73.53
708,16505,176,73.57
709,16531,176,73.62
